Saami {prop} (Saami language)	 :: Samisk språk
swamp holly {n} (American winterberry) SEE: American winterberry	 ::
swan {n} (waterfowl of the genus Cygnus)	 :: [Bokmål] svane {m} {f}; [Nynorsk] svane {f}
swanling {n} (baby swan, young swan) SEE: cygnet	 ::
swarm spore {n} (zoospore) SEE: zoospore	 ::
swarthy {adj} (dark) SEE: dark	 ::
swarthy {adj} (dark-skinned) SEE: dark-skinned	 ::
swarthy {adj} (dusky) SEE: dusky	 ::
swarthy {adj} (tawny) SEE: tawny	 ::
swastika {n} (a cross with arms of equal length all bent halfway along at a 90° angle)	 :: [Bokmål] hakekors {n}, svastika {m}; [Nynorsk] hakekors {n}, hakekross {m}, svastika {m}
swathe {n} (swath) SEE: swath	 ::
sway {n} (The act of swaying; a swaying motion; a swing or sweep of a weapon)	 :: [Bokmål] svai {m}
sway {v} (To move or swing from side to side; or backward and forward; to rock)	 :: [Bokmål] svaie
sway {v} (To move or wield with the hand; to swing; to wield; as, to sway the scepter)	 :: [Bokmål] svinge
Swazi {adj} (pertaining to Swaziland)	 :: [Bokmål] swazilandsk; [Nynorsk] swazilandsk
Swazi {n} (a person from Swaziland)	 :: [Bokmål] swazilender {m}, swazilending {m}; [Nynorsk] swazilendar {m}, swazilending {m}
Swazi {n} (a person of the Swazi tribe)	 :: [Bokmål] swazi {m}; [Nynorsk] swazi {m}
Swazi {prop} (Swati language)	 :: swati; [Bokmål] swati {m}, swazi {m}; [Nynorsk] swati {m}, swazi {m}
Swaziland {prop} (Kingdom of Swaziland)	 :: Swaziland
swear {v} (to curse, to use offensive language)	 :: [Bokmål] banne, sverge, sverte; [Nynorsk] banna, banne, sverta, sverte, sverja, sverje
swear {v} (to take an oath)	 :: [Bokmål] sverge; [Nynorsk] sverja, sverje
swear word {n} (impolite or offensive taboo word)	 :: bannord {n}, ed {m}, kraftuttrykk {n}
sweat {n} (fluid that exits the body through pores)	 :: [Bokmål] svette {m} {f}; [Nynorsk] sveitte {m}
sweat {v} (to emit sweat)	 :: svette
sweater {n} (similar garment worn for warmth)	 :: [Bokmål] genser {m}; [Nynorsk] genser {m}
sweat like a pig {v} (sweat profusely)	 :: svette som en gris
swede {n} (plant)	 :: kålrot
swede {n} (turnip) SEE: turnip	 ::
swede {n} (yellow root of Brassica napus)	 :: kålrot
Swede {n} (Swedish person)	 :: [Bokmål] svenske {m}; [Nynorsk] svenske {m}
Sweden {prop} (Scandinavian country)	 :: Sverige; [Nynorsk] Sverige {n}
Swedish {adj} (of or pertaining to Sweden)	 :: [Bokmål] svensk; [Nynorsk] svensk
Swedish {adj} (of or pertaining to the Swedish language)	 :: [Bokmål] svensk; [Nynorsk] svensk
Swedish {prop} (language)	 :: [Bokmål] svensk {m}; [Nynorsk] svensk {m}
sweep {n} (chimney sweep) SEE: chimney sweep	 ::
sweet {adj} (containing a sweetening ingredient)	 :: sukkertilsatt
sweet {adj} (free from excessive unwanted substances)	 :: ren
sweet {adj} (having a helpful disposition)	 :: hjelpsom, vennlig
sweet {adj} (having a pleasant smell)	 :: søtlig
sweet {adj} (having a pleasant sound)	 :: vakker
sweet {adj} (having a pleasant taste)	 :: søt
sweet {adj} (having a pleasing disposition)	 :: snill, vennlig
sweet {adj} (having a taste of sugar)	 :: søt
sweet {adj} (not decaying, rancid, sour, spoiled, or stale)	 :: fersk
sweet {adj} (not having a salty taste)	 :: (butter) usaltet, (water) fersk
sweet {adj} (of a wine: retaining a portion of sugar)	 :: søt
sweet {n} (basic taste sensation induced by sugar) SEE: sweetness	 ::
sweet {n} (food eaten for dessert) SEE: dessert	 ::
sweet {n} (sweetheart) SEE: sweetheart	 ::
sweet dreams {n} (sweet dreams)	 :: søte drømmer
sweetener {n} (sweetener)	 :: søtningsmiddel
sweet gale {n} (Myrica gale) SEE: gale#Etymology 3	 ::
sweetheart {n} (darling) SEE: darling	 ::
sweetie {n} (sweetheart)	 :: søtnos
sweetmeat {n} (sweet delicacy)	 :: søtsaker {p}
sweet potato {n} (tuber)	 :: søtpotet
sweet potato {n} (yam) SEE: yam	 ::
sweets {n} (confectionery, candy)	 :: godteri {n-p}
sweet shop {n} (sweetshop) SEE: sweetshop	 ::
swell {n} (series of waves)	 :: dønning
swell {v} (intransitive: to become bigger, especially due to being engorged)	 :: [Bokmål] svelle, svulme; [Nynorsk] svelle, svulme
swiftness {n} (state of being swift) SEE: quickness	 ::
swim {v} (move through water)	 :: bade, svømme
swim cap {n} (cap worn by swimmers)	 :: [Bokmål] badehette {m} {f}; [Nynorsk] badehette {f}
swimming pool {n} (Pool)	 :: svømmebasseng, basseng
swimming trunks {n} (a pair of shorts or briefs worn for swimming or bathing)	 :: badebukser {m-p} {f-p}; [Nynorsk] badebukse {f}
swimmist {n} (swimmer) SEE: swimmer	 ::
swimsuit {n} (tight-fitting garment worn for swimming)	 :: badedrakt {c}
swine {n} (pig) SEE: pig	 ::
swine flu {n} (influenza caused by orthomyxoviruses)	 :: svineinfluensa
swine influenza {n} (swine flu) SEE: swine flu	 ::
swing {n} (hanging seat)	 :: [Bokmål] huske {m} {f}, gynge {m} {f}, disse {m} {f}; [Nynorsk] huske {f}, gynge {f}, disse {f}
swing {v} (to ride on a swing)	 :: [Bokmål] huske, gynge, disse; [Nynorsk] huske, gynge, disse
swing state {n} (A state which may vote Democratic or Republican)	 :: [Bokmål] vippestat {m}; [Nynorsk] vippestat {m}
Swiss {adj} (of or pertaining to Swiss language(s) or Swiss dialect(s))	 :: [Bokmål] sveitsisk; [Nynorsk] sveitsisk
Swiss {adj} (of or pertaining to Switzerland)	 :: [Bokmål] sveitsisk; [Nynorsk] sveitsisk
Swiss {adj} (of or pertaining to the Swiss people)	 :: [Bokmål] sveitsisk; [Nynorsk] sveitsisk
Swiss {n} (Swiss person)	 :: [Bokmål] sveitser {m}; [Nynorsk] sveitsar {m}
Swiss cheese {n} (cheese with holes)	 :: [Bokmål] sveitserost {m}; [Nynorsk] sveitserost {m}
Swiss franc {n} (currency of Switzerland)	 :: [Bokmål] sveitserfranc {m}, sveitsisk franc {m}; [Nynorsk] sveitserfranc {m}
Swiss roll {n} (a type of sponge cake roll)	 :: [Bokmål] rullekake {m} {f}; [Nynorsk] rullekake {f}
switch {n} (Command line notation)	 :: svitsj {m}
switch {n} (Device to turn electric current on and off or direct its flow)	 :: bryter {m}
switch {n} (movable section of railroad track)	 :: pens {m}
switch {n} (System which allows the interconnection of a calling party's telephone line with any called party's line)	 :: sentral {m}
switch {n} (Thin rod used as a whip)	 :: prylestokk {m}
Switzerland {prop} (sovereign country)	 :: Sveits
swoon {n} (infatuation) SEE: infatuation	 ::
sword {n} (weapon)	 :: [Bokmål] sverd {n}; [Nynorsk] sverd {n}
swordfish {n} (Xiphias gladius)	 :: sverdfisk
Sybil {prop} (female given name) SEE: Sibyl	 ::
sycamore {n} (sycamore maple) SEE: sycamore maple	 ::
sycamore maple {n} (Acer pseudoplatanus)	 :: platanlønn {m}
sycophant {n} (one who uses compliments to gain self-serving favor or advantage from another person.)	 :: spyttslikker {m}, spyttsleiker
Sydney {prop} (language) SEE: Dharuk	 ::
syllabary {n} (system)	 :: [Bokmål] stavelsesskrift {m} {f}; [Nynorsk] stavingsskrift {f}
syllabize {v} (syllabify) SEE: syllabify	 ::
syllable {n} (One or more vowel sounds)	 :: [Bokmål] stavelse {m}, staving {m} {f}; [Nynorsk] staving {f}
symbiogenesis {n} (merging of organisms to form a new organism)	 :: symbiogenese
symbol {n} (character or glyph)	 :: [Bokmål] symbol {n}; [Nynorsk] symbol {n}
symbol {n} (object meant to represent another)	 :: [Bokmål] symbol {n}; [Nynorsk] symbol {n}
symbol {n} (summary of a dogmatic statement of faith)	 :: [Bokmål] symbol {n}; [Nynorsk] symbol {n}
symbol {v} (symbolize) SEE: symbolize	 ::
symmetric {adj} (symmetrical) SEE: symmetrical	 ::
symmetrical {adj} (exhibiting symmetry)	 :: symmetrisk
symphony {n} (piece of orchestral music)	 :: symfoni {c}
symptom {n} (something that indicates a disease or disorder)	 :: [Bokmål] symptom {n}; [Nynorsk] symptom {n}
synagogue {n} (place)	 :: [Bokmål] synagoge {m}; [Nynorsk] synagoge {m} {f}
sync {n} (synchronization) SEE: synchronization	 ::
sync {v} (synchronize) SEE: synchronize	 ::
synchromesh {adj} (a device which functions like a synchronized transmission)	 :: synkronisert
synchromesh {n} (a device which functions like a synchronized transmission)	 :: synkronisering {c}
synchromesh {n} (system of synchronized transmission found in modern gearboxes)	 :: synkrongir {n}
synchronisation {n} (synchronization) SEE: synchronization	 ::
synclinal {n} (synclinal fold)	 :: synklinal; [Nynorsk] synklinal
syncline {n} (concave upward fold) SEE: synclinal	 ::
syndrome {n} (recognizable pattern of symptoms or behaviours)	 :: syndrom
synergy {n} (behavior of a system that cannot be predicted by the behavior of its parts)	 :: synergi
syntagmatarchy {n} (square formation of 256 soldiers) SEE: syntagma	 ::
syntaxis {n} (syntax) SEE: syntax	 ::
synthetic {adj} (Artificial, not genuine)	 :: [Bokmål] syntetisk; [Nynorsk] syntetisk
syphilis {n} (sexual disease caused by Treponema pallidum)	 :: [Bokmål] syfilis {m}; [Nynorsk] syfilis {m}
Syria {prop} (country in the Middle East)	 :: Syria
Syrian {adj} (Of, from, or pertaining to Syria, the Syrian people or the Syrian language)	 :: [Bokmål] syrisk; [Nynorsk] syrisk
Syrian {n} (A person from Syria or of Syrian descent)	 :: [Bokmål] syrer {m}; [Nynorsk] syrar {m}
syrinx {n} (panpipes) SEE: panpipes	 ::
system {n} (collection of organized things)	 :: [Bokmål] system {n}; [Nynorsk] system {n}
